id,pop,lat,long,species,lineage,Taxon,tissues,note,include,reduce,river,region,phylo_label
NE1608.4,PU1608,-33.20127608,146.4523129,NE,MDB_LEB,richardsoni,yes,NA,include,delete,MDB_Lachlan,MDB,NE1608.4_MDB_Lachlan
NE1608.5b,PU1608,-33.20127608,146.4523129,NE,MDB_LEB,richardsoni,yes,NA,include,delete,MDB_Lachlan,MDB,NE1608.5b_MDB_Lachlan
BB11,Swanport,-35.15198835,139.313171,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_LMurray,MDB,BB11_MDB_LMurray
BB12,Swanport,-35.15198835,139.313171,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_LMurray,MDB,BB12_MDB_LMurray
BB13,Swanport,-35.15198835,139.313171,NE,MDB_LEB,richardsoni,yes,NA,include,delete,MDB_LMurray,MDB,BB13_MDB_LMurray
BB14,Swanport,-35.15198835,139.313171,NE,MDB_LEB,richardsoni,yes,NA,include,delete,MDB_LMurray,MDB,BB14_MDB_LMurray
BB15,Swanport,-35.15198835,139.313171,NE,MDB_LEB,richardsoni,yes,NA,include,delete,MDB_LMurray,MDB,BB15_MDB_LMurray
BB16,Swanport,-35.15198835,139.313171,NE,MDB_LEB,richardsoni,yes,NA,include,delete,MDB_LMurray,MDB,BB16_MDB_LMurray
BB17,Swanport,-35.15198835,139.313171,NE,MDB_LEB,richardsoni,yes,NA,include,delete,MDB_LMurray,MDB,BB17_MDB_LMurray
BB18,Swanport,-35.15198835,139.313171,NE,MDB_LEB,richardsoni,yes,NA,include,delete,MDB_LMurray,MDB,BB18_MDB_LMurray
BB19,Swanport,-35.15198835,139.313171,NE,MDB_LEB,richardsoni,yes,NA,include,delete,MDB_LMurray,MDB,BB19_MDB_LMurray
BB20,Swanport,-35.15198835,139.313171,NE,MDB_LEB,richardsoni,yes,NA,include,delete,MDB_LMurray,MDB,BB20_MDB_LMurray
NE1463.1,PU1463,-30.97183,150.25616,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Namoi,MDB,NE1463.1_MDB_Namoi
NE1463.2,PU1463,-30.97183,150.25616,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Namoi,MDB,NE1463.2_MDB_Namoi
NE1626.1,PU1626,-28.09405597,144.20151860000001,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Paroo,MDB,NE1626.1_MDB_Paroo
NE1626.2,PU1626,-28.09405597,144.20151860000001,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Paroo,MDB,NE1626.2_MDB_Paroo
NE1429.1,PU1429,-26.64909,145.28788,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Paroo,MDB,NE1429.1_MDB_Paroo
NE1429.2,PU1429,-26.64909,145.28788,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Paroo,MDB,NE1429.2_MDB_Paroo
NE1223.1,PU1323,-29.69752,144.158979,NE,MDB_LEB,richardsoni,yes,field code was wrong,include,include,MDB_Paroo,MDB,NE1223.1_MDB_Paroo
NE1223.2,PU1323,-29.69752,144.158979,NE,MDB_LEB,richardsoni,yes,field code was wrong,include,include,MDB_Paroo,MDB,NE1223.2_MDB_Paroo
BB1,27_Mile,-26.08200174,146.4203249,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Warrego,MDB,BB1_MDB_Warrego
BB2,27_Mile,-26.08200174,146.4203249,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Warrego,MDB,BB2_MDB_Warrego
